slice,section,recordId,dhikrOpening,arabicTextStatus,tashkeelStatus,sourceStatus,hadithReference,narratorStatus,gradeStatus,countStatus,occasionStatus,categoryStatus,englishMeaningStatus,transliterationStatus,severity,recommendedAction,evidenceSources
morning_evening,Morning,morning_001,آية الكرسي,Accurate — matches Qur'an 2:255 word-for-word,"Present, complete; minor orthography note: ""السموات"" spelled without medial alif (a valid, widely-published spelling convention closer to the Uthmani rasm), vs. the ""quran-simple"" API's modernized ""السماوات"" — not an error","Correct (""Qur'an 2:255"")",N/A — Qur'anic,N/A,N/A,"N/A (Qur'anic recitation, not a counted dhikr formula)","Acceptable general placement — Ayat al-Kursi's inclusion in morning/evening adhkar compilations is a long, well-established scholarly practice (protection virtue hadith, Muslim/Bukhari), though the ayah itself carries no morning/evening-specific wording",Correct,Accurate (Saheeh-International-consistent),Accurate,LOW,None — informational note only on spelling convention,"Live fetch: api.alquran.cloud `quran-simple` & `quran-uthmani` editions for 2:255, this session"
morning_evening,Evening,morning_001 (evening copy),آية الكرسي,Same as above,Same as above,Correct,N/A,N/A,N/A,N/A,Same as above,Correct,Accurate,Accurate,LOW,Same as above,Same
morning_evening,Morning,morning_002,سورة الإخلاص (×3),Not independently re-fetched this pass — well-attested Qur'anic text,Present,"Cited ""Sunan Abi Dawud — sahih (al-Albani)"" — consistent with the well-known hadith on reciting the three Quls three times each evening/before sleep (Abu Dawud 5082, 'Uqbah/others)",Abu Dawud (exact number not shown in app),Not shown in app,"Attribution to al-Albani plausible, not independently re-confirmed",3x consistent with the cited hadith,Acceptable,Correct,Accurate,Accurate,LOW,Consider adding the specific Abu Dawud hadith number to `source_ar`/`source_en` for full section-11 compliance,Prior general knowledge; not re-fetched
morning_evening,Evening,morning_002 (evening copy),سورة الإخلاص (×3),Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,LOW,Same,Same
morning_evening,Morning,morning_002b,سورة الفلق (×3),Not independently re-fetched,Present,Same pattern as morning_002,Abu Dawud (number not shown),Not shown,Not re-confirmed,3x consistent,Acceptable,Correct,Accurate,Accurate,LOW,Same as morning_002,Prior knowledge
morning_evening,Evening,morning_002b (evening copy),سورة الفلق (×3),Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,LOW,Same,Same
morning_evening,Morning,morning_002c,سورة الناس (×3),Not independently re-fetched,Present,Same pattern,Abu Dawud (number not shown),Not shown,Not re-confirmed,3x consistent,Acceptable,Correct,Accurate,Accurate,LOW,Same as morning_002,Prior knowledge
morning_evening,Evening,morning_002c (evening copy),سورة الناس (×3),Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,LOW,Same,Same
morning_evening,Morning,morning_003,أصبحنا وأصبح الملك لله,Clean — well-known Sahih Muslim wording,Present,"""Sahih Muslim"" — matches Muslim 2723 (Abdullah ibn Mas'ud), not independently re-fetched","Muslim 2723 (from memory, not re-verified via live fetch)",Ibn Mas'ud (not shown in app UI),Not re-confirmed live,No count issue (repeat=1),"Correct (explicitly a morning-specific hadith, ""إذا أصبح"")",Correct,Accurate,Accurate,LOW,Consider adding hadith number/narrator to source fields,Prior knowledge
morning_evening,Evening,morning_003 (evening variant),أمسينا وأمسى الملك لله,"Wording is the app's own `EVENING_TEXT_OVERRIDE` — the day→night substitution (""أصبحنا""→""أمسينا"", ""هذا اليوم""→""هذه الليلة"") mirrors the standard evening recitation of the SAME Muslim 2723 hadith text (the hadith itself instructs ""وإذا أمسى قال...(أمسينا)""), so this is not an invented variant",Present,Same collection,Same,Same,Not re-confirmed live,Same,Correct,Correct,Accurate,Accurate,LOW,Same,Prior knowledge
morning_evening,Morning,morning_004,اللهم بك أصبحنا,Clean,Present,"""Sunan Abi Dawud — sahih (al-Albani)"" — consistent with the well-known Abu Dawud 5068 hadith (from Abu Hurayrah)",Abu Dawud ~5068 (not re-fetched),Abu Hurayrah (not shown),Not re-confirmed live,No issue,"Correct, explicitly morning-tied",Correct,Accurate,Accurate,LOW,Add hadith number/narrator,Prior knowledge
morning_evening,Evening,morning_004_evening,اللهم بك أمسينا,"Evening half of the SAME Abu Dawud 5068 hadith, which itself gives both the morning and evening wording — override is a legitimate mirrored substitution, not invented",Present,Same,Same,Same,Not re-confirmed live,No issue,Correct,Correct,Accurate,Accurate,LOW,Same,Prior knowledge
morning_evening,Morning,morning_005,سيد الاستغفار,Clean — extremely well-attested wording,Present,"""Sahih al-Bukhari"" — matches Bukhari 6306 (Shaddad ibn Aws)",Bukhari 6306 (not re-fetched live),Shaddad ibn Aws (not shown),Not re-confirmed live,No issue,"Correct — hadith explicitly ties this to morning (""من قالها حين يصبح"") and evening",Correct,Accurate,Accurate,LOW,Add narrator/number,"Prior knowledge; identical wording to Misc library's own `sayyid-al-istighfar` record (noted duplicate, see section below)"
morning_evening,Evening,"morning_005 (evening copy, unchanged wording)",سيد الاستغفار,"Same wording both occasions per the hadith's own instruction (""ومن قالها حين يمسي"")",Present,Same,Same,Same,Not re-confirmed,No issue,Correct,Correct,Accurate,Accurate,LOW,Same,Same
morning_evening,Morning,morning_006,اللهم إني أصبحت أشهدك (×4),Clean,Present,"""Sunan Abi Dawud — hasan (Ibn Baz)"" — plausible, consistent with the well-known Abu Dawud 5069 narration",Abu Dawud ~5069 (not re-fetched),Not shown,Not re-confirmed live,4x matches the hadith's own repetition instruction,Correct,Correct,Accurate,Accurate,LOW,Add number,Prior knowledge
morning_evening,Evening,morning_006_evening,اللهم إني أمسيت أشهدك (×4),"Legitimate day→night override per app's own EVENING_TEXT_OVERRIDE, single-word substitution أصبحت→أمسيت, matching the hadith's own combined wording (""من قال حين يصبح أو يمسي"")",Present,Same,Same,Same,Not re-confirmed,Same,Correct,Correct,Accurate,Accurate,LOW,Same,Same
morning_evening,Morning,morning_007,اللهم ما أصبح بي من نعمة,"**Verified this session** — matches the narration located via live WebSearch (Ibn al-Qayyim, Zad al-Ma'ad; Dorar.net snippet)",Present,"""Sunan Abi Dawud — hasan (some scholars), disputed"" — CONFIRMED accurate: live search located this exact hadith at Abu Dawud 5073, Nasa'i al-Kubra 9750, Ibn Hibban 861, narrated from 'Abdullah ibn Ghannam al-Bayadi; the ""disputed"" framing in DITHAR's own source string matches real scholarly discussion (chain criticized by some, defended by others) rather than a flat ""sahih"" claim",Abu Dawud 5073 / Nasa'i Kubra 9750 / Ibn Hibban 861,'Abdullah ibn Ghannam al-Bayadi,"Correctly hedged as disputed rather than flattened to ""sahih"" — matches spec section 12's requirement",No issue,Correct,Correct,Accurate,Accurate,"LOW (well-documented, appropriately hedged already)",None needed — this record is a good example of the nuanced grading the audit asked for,"WebSearch this session (query: ""من قال حين يصبح وحين يمسي"" ""ما أصبح بي من نعمة"" أبو داود تخريج); Dorar.net entry id FL3RXQ0I (via search snippet, direct fetch blocked — HTTP 403)"
